"序号","公司","融资时间","轮次","融资金额","投后估值","主要投资方","主要业务","地区","网站"
"1","Baseten","2026-06-22","Series F","$1.5B","$11B–$13B(双档)","Altimeter、Conviction、Spark Capital领投;Sands、Wellington、IVP、Greylock、D.E. Shaw","AI推理基础设施(日处理10亿+推理调用,跨18朵云)","美国","baseten.co"
"2","CRED","2026-06-22","Series H","~$900M","—","Meta领投;PeakXV等老股东","印度消费金融科技(信用卡管理/支付)","印度","cred.club"
"3","Nearfield Instruments","2026-06-22","Series D","$380M","$1.6B","未完整披露","半导体量检测设备(纳米级metrology)","荷兰","nearfieldinstruments.com"
"4","Upscale AI","2026-06-22","Series A-1","$190M(累计$500M)","$2B","Premji Invest领投;NVIDIA、Salesforce Ventures、Temasek、Tiger Global、Mayfield、StepStone","AI网络交换芯片/开放标准AI fabric(对标Cisco)","美国","upscale.ai"
"5","Odyssey","2026-06-17","Series B","$310M","$1.45B","Natural Capital领投;Amazon、GV、AMD Ventures、EQT、IQT","通用世界模型(因果多模态,用于机器人/科学/游戏)","美国","odyssey.ml"
"6","Twenty","2026-06-17","Series B","$100M","$1B","Accel领投;Point72 Ventures、Caffeinated、Friends & Family","AI网络战系统(面向美军及情报界)","美国","twenty.inc"
"7","Sarvam","2026-06-15","Series B","$234M","—","HCLTech、Bessemer、Khosla Ventures、PeakXV","主权AI/企业AI模型基础设施","印度","sarvam.ai"
"8","Hydra Host","2026-06-15","—","$100M","~$800M","Kindred Ventures领投;NVIDIA、ARK Invest、Magnetar、Founders Fund、Flume","AI算力市场(撮合闲置数据中心GPU与买家)","美国","hydrahost.com"
"9","NewCore","2026-06-15","Seed","$66M","~$300M","Cyberstarts、Index Ventures、Evolution Equity Partners","网络安全/身份基础设施","以色列","—(待核实)"
"10","Arcade.dev","2026-06-15","Series A","$60M(累计$72M)","—","SYN Ventures领投;Morgan Stanley、Wipro战略投资","生产级AI Agent的安全行动层(权限控制)","美国","arcade.dev"
"11","Radical Numerics","2026-06-15","Seed","$50M","—","Emergence Capital领投;Obvious Ventures、Triatomic、Factory、Patrick Collison","通用生物智能AI(跨DNA/RNA/蛋白质学习)","美国","radicalnumerics.ai"
"12","HMNC Brain Health","2026-06-15","Series B(首关)","$50M","—","MEDICE领投;The Maschmeyer Group","临床期神经科学(口服缓释氯胺酮治抑郁)","德国","hmnc.de"
"13","Neura Robotics","2026-06-10","Series C","最多$1.4B","~$7B","Tether、Qualcomm、Amazon、NVIDIA、Bosch、Schaeffler、欧洲投资银行(EIB)","人形机器人/物理AI平台","德国","neura-robotics.com"
"14","Iceye","2026-06(6-12周)","Series F","$520M","$12B+","General Atlantic领投","SAR卫星星座(对地观测/监测)","芬兰","iceye.com"
"15","NinjaOne","2026-06(6-12周)","Series C扩展","$400M+","$12.3B","未完整披露","IT运维/终端管理(endpoint management)平台","美国","ninjaone.com"
"16","Digital Asset","2026-06(6-12周)","后期轮","$355M","—","a16z crypto领投","面向金融机构的区块链技术(Canton Network)","美国","digitalasset.com"
