"序号","公司","投资时间","轮次/类型","该轮总额","NVIDIA出资(如披露)","投后估值","赛道","国家/地区","公司业务","备注"
"1","OpenAI","2025-09 / 2026-02","战略投资 + 参与融资","$110B(2026轮)","承诺最多$100B(2025-09);$30B(2026-02)","$852B","前沿大模型","美国","ChatGPT、GPT系列基础模型","史上最大承诺;随10GW算力分阶段投入;已秘密递交IPO"
"2","Anthropic","2025-11","战略投资承诺","$30B(Series G)","承诺最多$10B(与微软合计$15B)","$380B(Series G)→$965B(Series H)","前沿大模型","美国","Claude大模型","循环交易:Anthropic向Azure采购$30B算力(跑NVIDIA芯片)"
"3","xAI","2026-01","参与 Series E","$20B","参与(金额未披露)","$20B+","前沿大模型","美国","Grok大模型、Colossus数据中心","QIA、MGX领投;Cisco同投"
"4","Mistral AI","2024 / 2025-09 / 2026-06","Series B→C(多轮跟投)","€1.7B(2025 C);$3.5B(2026)","参与(金额未披露)","€11.7B(2025)→$20B(2026)","前沿大模型","法国","欧洲开源/前沿大模型","NVIDIA已三次投资;另2026-03提供$830M债务购13800颗NVIDIA芯片"
"5","Reflection AI","2025-10","参与融资","$2B","$250M–$500M(NVentures)","$8B","前沿大模型(开源)","美国","开源前沿模型,对标DeepSeek","NVIDIA为最重要投资人之一"
"6","Thinking Machines Lab","2025-07","参与种子轮","$2B","参与(金额未披露)","$12B","前沿大模型","美国","Mira Murati(前OpenAI CTO)创立","史上最大种子轮之一"
"7","Cohere","2023起 / 2025-08","Series D(多轮跟投)","$500M(Series D)","参与(金额未披露)","$6.8B","企业级LLM","加拿大","企业级大语言模型","NVIDIA自2023年起持续跟投"
"8","Black Forest Labs","2025-12","参与融资","$300M","参与(金额未披露)","$3.25B","视觉生成模型","德国","前沿视觉/图像生成AI(FLUX)",""
"9","Sakana AI","2025","参与 Series A","~$214M","参与(金额未披露)","$1.5B","大模型","日本","小数据集低成本生成式AI","日本明星AI公司"
"10","Imbue","2023-09","参与融资","$200M","参与(金额未披露)","—","AI Agent","美国","自主推理AI Agent",""
"11","Cursor (Anysphere)","2025-11","参与 Series D","$2.3B","参与(战略投资人)","$29.3B","AI编程","美国","AI代码编辑器/编程助手","Accel、Coatue领投;Google、a16z、Thrive、DST同投"
"12","Lovable","2025-12","参与 Series B","—","参与(金额未披露)","$6.6B","AI编程","瑞典","Vibe coding(自然语言建站/应用)",""
"13","Perplexity","2023-11起 / 2025-07","多轮跟投","$500M(2024-12)","参与(金额未披露)","$18B(2025-07)","AI搜索","美国","对话式AI搜索引擎","NVIDIA自2023年起几乎参与每一轮"
"14","Synthesia","2026-初","参与 Series E","$200M","参与(金额未披露)","$4B","生成式视频","英国","AI数字人/虚拟主播视频生成","估值较上轮翻倍"
"15","Runway","2025-04","参与融资","$308M","参与(金额未披露)","$3.55B","生成式视频","美国","媒体生产用生成式AI模型","General Atlantic领投"
"16","Hippocratic AI","2025-01","参与 Series B","$141M","参与(金额未披露)","—","医疗AI","美国","面向患者的医疗专用语言模型",""
"17","Kore.ai","2023-12","参与融资","$150M","参与(金额未披露)","—","企业AI","美国","企业级AI聊天机器人/对话平台",""
"18","Scale AI","—","参与","—","参与(金额未披露)","$14B","AI数据","美国","数据标注/数据基础设施",""
"19","Genesis Therapeutics","2023起(后续追加)","Series B + 增持","$200M(Series B)","参与 + 增量增持(NVentures)","—","AI药物发现","美国","GEMS分子生成AI平台","a16z联合领投;2026-02获Incyte $120M合作"
"20","Terray Therapeutics","—","参与(NVentures)","—","参与(金额未披露)","—","AI药物发现","美国","AI驱动小分子药物发现",""
"21","Superluminal Medicines","—","参与(NVentures)","—","参与(金额未披露)","—","AI药物发现","美国","AI驱动药物发现",""
"22","Relation Therapeutics","—","参与(NVentures)","—","参与(金额未披露)","—","AI药物发现","英国","AI驱动靶点发现/药物研发",""
"23","Figure AI","2024-02 / 2025-09","Series B→C(多轮跟投)","$675M(B);$1B+(C)","参与(金额未披露)","$2.6B(2024)→$39B(2025)","人形机器人","美国","通用人形机器人Apollo","估值一年内增长约15倍"
"24","Wayve","2024-05","参与 + 追加","$1.05B(2024)","参与 + 拟追加$500M","—","自动驾驶","英国","自学习端到端自动驾驶系统",""
"25","Skild AI","2025-12 / 2026-01","参与融资","$1.4B","参与(与SoftBank)","$14B","机器人基础模型","美国","Skild Brain通用机器人大脑","SoftBank领投;NVentures参投"
"26","Bright Machines","2024-06","参与 Series C","$126M","参与(金额未披露)","—","工业机器人","美国","智能机器人/AI驱动制造软件",""
"27","CoreWeave","2023-04起 / 2026-01","首投 + 私募增持","$221M(2023);$2B(2026私募)","$2B(2026-01,$87.20/股)","—","AI云(neocloud)","美国","GPU云算力服务(已上市CRWV)",""
"28","Nebius Group","2026-03","战略投资","$2B","$2B","—(纳斯达克上市NBIS)","AI云(neocloud)","荷兰/欧洲","全栈AI云平台","2030年前部署5GW+ NVIDIA系统"
"29","Nscale","2025-09 / 2025-10","战略投资 + SAFE","$1.1B(9月) + $433M SAFE(10月)","承诺£500M","—","AI数据中心","英国","主权AI数据中心/AI云(含Stargate Norway)","Jensen Huang亲自宣布"
"30","Lambda (Labs)","2025-02","参与 Series D","$480M","参与(金额未披露)","—","AI云(neocloud)","美国","GPU云算力服务",""
"31","Crusoe","2024-末","参与 Series D","—","参与(金额未披露)","—","AI数据中心/能源","美国","低碳AI数据中心/能源算力",""
"32","Intel","2025-09 / 2025-12","战略投资(普通股)","—","$5B(217.4M股@ $23.28)","—(上市公司)","半导体/CPU","美国","x86 CPU;合作开发NVLink定制数据中心+PC芯片","2025-12完成,FTC批准"
"33","Marvell Technology","2026-03","战略投资","—","$2B","—(上市公司)","半导体/光子","美国","硅光子/定制芯片;NVLink Fusion协同",""
"34","Lumentum","2026","战略投资","—","约$2B(光子)","—(上市公司)","光子/光学","美国","下一代光学互连技术",""
"35","Coherent","2026","战略投资","—","参与(光子,金额约同上)","—(上市公司)","光子/光学","美国","光子/光通信器件",""
"36","Corning","2026","战略投资协议","—","承诺最多$3.2B","—(上市公司)","光学材料","美国","玻璃/光学互连材料",""
"37","IREN","2026","入股权协议","—","权利最多$2.1B","—(上市公司)","AI数据中心","澳大利亚/美国","数据中心运营商",""
"38","Ayar Labs","2024-12","参与融资","$155M","参与(金额未披露)","—","光子/互连","美国","光互连(提升AI算力与能效)",""
"39","Enfabrica","2023-09","参与融资","$125M","参与(金额未披露)","—","网络芯片","美国","AI网络互连芯片",""
"40","Weka","2024-05","参与融资","$140M","参与(金额未披露)","$1.6B","AI数据管理","美国","AI原生数据管理平台",""
"41","PsiQuantum","2025","参与 Series E","$1B","参与(NVentures)","—","量子计算","美国","光子量子计算",""
"42","Quantinuum","2025-09","参与融资","$600M","参与(NVentures)","$10B","量子计算","美国/英国","离子阱量子计算",""
"43","QuEra Computing","2025-09","参与 Series B","$230M","参与(NVentures)","—","量子计算","美国","中性原子量子计算",""
"44","SandboxAQ","2025-04","参与融资","$150M","参与(与Google等)","$5.75B","量子+AI","美国","量子+AI(安全/仿真)",""
"45","Recursive Superintelligence","2026-04 / 2026-05","参与融资(出隐身)","$500M(4月)→$650M(5月)","参与(战略投资人)","$4B→$4.65B","前沿大模型/自我改进AI","英国/美国","自我改进AI,自动化AI研发全流程(架构/训练/评测/方向)","GV、Greycroft领投;AMD Ventures同投;创始人Richard Socher等(DeepMind/OpenAI/Salesforce系);2025-12创立"
"46","Recursion Pharmaceuticals","2023-07","PIPE(上市公司定增)","$50M","$50M","—(上市公司RXRX)","AI药物发现","美国","AI生物/化学基础模型;为Roche、Bayer等供药物模型","注:投资发生在2023年(两年窗口外),作为持仓背景列出"
